,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,37014494,https://www.airbnb.com/rooms/37014494,20240904164210,45540,previous scrape,Spanish style lower duplex near Beverly Hills,,,https://a0.muscache.com/pictures/65db39d1-c503-4b09-b825-11325f0750c2.jpg,278288178,https://www.airbnb.com/users/show/278288178,Ida,43668.0,,,,,,f,https://a0.muscache.com/im/pictures/user/8e45451a-9dce-4a2e-8a93-d415f6f6322a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8e45451a-9dce-4a2e-8a93-d415f6f6322a.jpg?aki_policy=profile_x_medium,South Robertson,1.0,1.0,"['email', 'phone']",t,f,,Beverlywood,City of Los Angeles,34.04841,-118.38751,Entire rental unit,Entire home/apt,2,,2 baths,2.0,,"[""Air conditioning"", ""Pets allowed"", ""Hot water"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Private entrance"", ""Free parking on premises"", ""Washer"", ""Essentials"", ""Heating"", ""Dryer"", ""Smoke alarm""]",,30,270,30.0,30.0,270.0,270.0,30.0,270.0,,,0,0,0,0,45540,0,0,0,,,,,,,,,,,f,1,1,0,0,
13,15852759,https://www.airbnb.com/rooms/15852759,20240904164210,45540,city scrape,"Enchanting Venice Bungalow Oasis, 1 Blk From Beach","Beautiful bungalow on a prime Venice Walk Street. One block from the beach and Venice boardwalk. Charming and quiet street, close to great restaurants, coffee, shopping and nightlife of Abbot Kinney & Main Street. You will enjoy a serene front yard, and a festive backyard with BBQ, couches and a fire pit for entertaining. Don't forget to take the beach cruisers along the boardwalk for sunset. You’ll love this beach home because of the neighborhood, the comfy bed, great amenities, & cozy vibe.",VENICE BEACH!,https://a0.muscache.com/pictures/f52cb9fa-b8ea-4dc2-9fb1-eb354a912dab.jpg,81010572,https://www.airbnb.com/users/show/81010572,Jeremy,42551.0,"Los Angeles, CA",,within a few hours,1.0,0.67,f,https://a0.muscache.com/im/pictures/user/94f48079-9f4b-4593-94de-851103532bc4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/94f48079-9f4b-4593-94de-851103532bc4.jpg?aki_policy=profile_x_medium,Venice,1.0,1.0,"['email', 'phone']",t,f,Neighborhood highlights,Venice,City of Los Angeles,33.9911,-118.47604,Entire home,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Free street parking"", ""Kitchen"", ""Carbon monoxide alarm"", ""Single level home"", ""Essentials"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Stove"", ""Wifi"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Beach essentials"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Dedicated workspace"", ""Hair dryer"", ""Ethernet connection"", ""HDTV with Amazon Prime Video, HBO Max, Hulu, Netflix, Roku, standard cable, DVD player"", ""Private patio or balcony"", ""Long term stays allowed"", ""BBQ grill"", ""Private backyard \u2013 Fully fenced"", ""Coffee maker"", ""Heating"", ""Pets allowed"", ""Hot water"", ""Dishwasher"", ""Private entrance"", ""Oven"", ""Shampoo"", ""Hangers"", ""Bed linens"", ""Smoke alarm""]",298.0,3,700,3.0,3.0,700.0,700.0,3.0,700.0,,t,0,0,0,244,45540,59,2,0,42738.0,45495.0,4.95,4.95,4.75,4.93,4.97,4.97,4.79,HSR21-002450,f,1,1,0,0,0.63
23,682771430545728945,https://www.airbnb.com/rooms/682771430545728945,20240904164210,45540,city scrape,Couch in living room,Need a place to crash for the night this couch is perfect for you,,https://a0.muscache.com/pictures/miso/Hosting-682771430545728945/original/f6180067-85f5-4abe-b2ac-74934b37a18e.jpeg,471868288,https://www.airbnb.com/users/show/471868288,Jonathan,44769.0,,,,,,f,https://a0.muscache.com/im/pictures/user/229e22f2-b58d-4d6d-a132-6c1c3e130b30.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/229e22f2-b58d-4d6d-a132-6c1c3e130b30.jpg?aki_policy=profile_x_medium,Downtown Los Angeles,1.0,1.0,"['email', 'phone']",t,t,,Downtown,City of Los Angeles,34.04278,-118.2596,Shared room in serviced apartment,Shared room,1,1.0,1 shared bath,1.0,1.0,[],77.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,,t,30,60,90,365,45540,0,0,0,,,,,,,,,,,f,1,0,0,1,
34,1227065782223053469,https://www.airbnb.com/rooms/1227065782223053469,20240904164210,45540,city scrape,Charming 1B in KTown,"Experience comfort in our cozy 1B/1B in lively K-Town. This charming space offers essential kitchen tools and fresh bedding for a restful stay. Please note that unit setup and design may vary based on availability, and there is no on-site parking.",,https://a0.muscache.com/pictures/miso/Hosting-1227057830403418481/original/8b8f2608-aa71-406b-b4c8-3caf327fc3a7.jpeg,510471191,https://www.airbnb.com/users/show/510471191,Raven,45033.0,"Los Angeles, CA","Hello! I'm part of a dynamic team working on creating our short-term rental brand called Nespace—where ""home"" means warmth like a nest. We have listings in Koreatown, Hollywood, DTLA, and WLA. We're a positive, adventurous bunch that thrives on continuous learning. We aim to enhance your experience, so feel free to reach out if there's anything we can do to make your stay even more enjoyable!",within a few hours,0.95,0.87,f,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_x_medium,Westlake,84.0,240.0,"['email', 'phone']",t,t,,Koreatown,City of Los Angeles,34.05457,-118.29842,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Kitchen"", ""TV"", ""Wifi"", ""Washer""]",89.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,28,58,88,88,45540,0,0,0,,,,,,,,,,,f,83,51,32,0,
40,6502155,https://www.airbnb.com/rooms/6502155,20240904164210,45540,city scrape,Centrally located room for rent in heart of city.,"Want to rent a room in our townhouse, in a very very safe neighborhood, walking distance to bus station, grocery stores, shopping mall, restaurants and freeways. Me and husband live in the townhouse, we are quiet, peaceful people , looking to rent a room to someone who is quiet, respectful and clean person. We are at work all day on weekdays. Can use our kitchen when it is not in use for some light cooking. Can have meals at the dinning table.",,https://a0.muscache.com/pictures/2e643a7c-7376-41fe-abf0-e80ae4b517a3.jpg,8631324,https://www.airbnb.com/users/show/8631324,Yasmin,41521.0,"Culver City, CA",,,,1.0,f,https://a0.muscache.com/im/users/8631324/profile_pic/1432402932/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8631324/profile_pic/1432402932/original.jpg?aki_policy=profile_x_medium,Culver City,2.0,5.0,"['email', 'phone']",t,t,,Culver City,Other Cities,34.02205,-118.3953,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Gym"", ""Kitchen"", ""Carbon monoxide alarm"", ""Essentials"", ""Lock on bedroom door"", ""Wifi"", ""Washer"", ""Outdoor dining area"", ""Shared pool"", ""Dryer"", ""Outdoor furniture"", ""Hair dryer"", ""BBQ grill"", ""Heating"", ""First aid kit"", ""Iron"", ""Shampoo"", ""Hangers"", ""Smoke alarm""]",89.0,15,31,15.0,15.0,31.0,31.0,15.0,31.0,,t,29,59,89,364,45540,1,0,0,44408.0,44408.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,,f,2,0,2,0,0.03
304,1181877008188431975,https://www.airbnb.com/rooms/1181877008188431975,20240904164210,45540,city scrape,Neat and Stylish 1B in a 5B5B in USC Rm 5,"Welcome to our neat and stylish 1-bedroom in a spacious 5-bedroom, 5-bathroom unit near USC. This chic room is perfect for students, solo travelers, or group looking for a comfortable and modern retreat with convenient access to the university and surrounding attractions. Enjoy a blend of privacy and community in this well-appointed home.",,https://a0.muscache.com/pictures/miso/Hosting-1181860655766668408/original/097952a7-ed75-479f-b2a5-a4d5030b6437.jpeg,510471191,https://www.airbnb.com/users/show/510471191,Raven,45033.0,"Los Angeles, CA","Hello! I'm part of a dynamic team working on creating our short-term rental brand called Nespace—where ""home"" means warmth like a nest. We have listings in Koreatown, Hollywood, DTLA, and WLA. We're a positive, adventurous bunch that thrives on continuous learning. We aim to enhance your experience, so feel free to reach out if there's anything we can do to make your stay even more enjoyable!",within a few hours,0.95,0.87,f,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_x_medium,Westlake,84.0,240.0,"['email', 'phone']",t,t,,Pico-Union,City of Los Angeles,34.04434275960673,-118.292057642469,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Lock on bedroom door"", ""Kitchen"", ""Wifi"", ""Free parking on premises"", ""Washer""]",36.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,,t,6,25,55,234,45540,0,0,0,,,,,,,,,,,f,83,51,32,0,
355,1181618242534140843,https://www.airbnb.com/rooms/1181618242534140843,20240904164210,45540,city scrape,Cozy 1B in a 6B6B near USC and Ktown - Rm 6,"Offers a comfortable and convenient stay in the heart of Los Angeles. Ideal for solo travelers, couples, or groups, this bedroom provides a peaceful retreat with easy access to USC and Koreatown. Enjoy a cozy atmosphere with amenities such as Wi-Fi, kitchen amenities , and a private or shared bathroom. Whether you're visiting for business or leisure, our place ensures a pleasant stay with its central location and welcoming environment.",,https://a0.muscache.com/pictures/miso/Hosting-1181603856314067978/original/c04f9cb2-2e86-4311-ab66-e079465fea4e.jpeg,510471191,https://www.airbnb.com/users/show/510471191,Raven,45033.0,"Los Angeles, CA","Hello! I'm part of a dynamic team working on creating our short-term rental brand called Nespace—where ""home"" means warmth like a nest. We have listings in Koreatown, Hollywood, DTLA, and WLA. We're a positive, adventurous bunch that thrives on continuous learning. We aim to enhance your experience, so feel free to reach out if there's anything we can do to make your stay even more enjoyable!",within a few hours,0.95,0.87,f,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_x_medium,Westlake,84.0,240.0,"['email', 'phone']",t,t,,Pico-Union,City of Los Angeles,34.04236751039177,-118.286076629878,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Lock on bedroom door"", ""Kitchen"", ""Wifi"", ""Free parking on premises"", ""Washer""]",41.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,,t,29,59,89,268,45540,0,0,0,,,,,,,,,,,f,83,51,32,0,
393,1181571357692980030,https://www.airbnb.com/rooms/1181571357692980030,20240904164210,45540,city scrape,Cozy 1B in a 7B6B near USC and Ktown - Rm 3,"Offers a comfortable and convenient stay in the heart of Los Angeles. Ideal for solo travelers, couples, or groups, this bedroom provides a peaceful retreat with easy access to USC and Koreatown. Enjoy a cozy atmosphere with amenities such as Wi-Fi, kitchen amenities , and a private or shared bathroom. Whether you're visiting for business or leisure, our place ensures a pleasant stay with its central location and welcoming environment.",,https://a0.muscache.com/pictures/miso/Hosting-1181555859095362974/original/cc54a303-b971-4703-af92-79e418e21443.jpeg,510471191,https://www.airbnb.com/users/show/510471191,Raven,45033.0,"Los Angeles, CA","Hello! I'm part of a dynamic team working on creating our short-term rental brand called Nespace—where ""home"" means warmth like a nest. We have listings in Koreatown, Hollywood, DTLA, and WLA. We're a positive, adventurous bunch that thrives on continuous learning. We aim to enhance your experience, so feel free to reach out if there's anything we can do to make your stay even more enjoyable!",within a few hours,0.95,0.87,f,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f52ef36d-f770-4aa3-b594-b8d27148b463.jpg?aki_policy=profile_x_medium,Westlake,84.0,240.0,"['email', 'phone']",t,t,,Pico-Union,City of Los Angeles,34.04191,-118.28602,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Lock on bedroom door"", ""Kitchen"", ""Wifi"", ""Free parking on premises"", ""Washer""]",32.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,,t,19,49,79,258,45540,0,0,0,,,,,,,,,,,f,83,51,32,0,
508,574943161797157673,https://www.airbnb.com/rooms/574943161797157673,20240904164210,45539,city scrape,Welcome to Ended up at JoJo’s,"This is stylish place to stay in, if your single or want to bring your partner friends and want to experience a home that has you feeling like a club lounge type of vibe, then this is the house to come to! The home is near all kinds of restaurants and shopping centers to buy anything that you need. For any other questions feel free to ask away.",,https://a0.muscache.com/pictures/9a69530e-5b7c-4476-9270-e1d604e418f1.jpg,95721812,https://www.airbnb.com/users/show/95721812,Jonathan,42631.0,"Los Angeles, CA",,,,,f,https://a0.muscache.com/im/pictures/user/2a42eed3-5180-4318-9ccb-bc32e82961f4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2a42eed3-5180-4318-9ccb-bc32e82961f4.jpg?aki_policy=profile_x_medium,South Los Angeles,1.0,1.0,['phone'],t,f,,Florence-Firestone,Unincorporated Areas,33.97983,-118.24349,Private room in home,Private room,3,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Air conditioning"", ""Pets allowed"", ""Kitchen"", ""TV"", ""Wifi"", ""Free parking on premises"", ""Exercise equipment"", ""Refrigerator"", ""First aid kit"", ""Smoke alarm"", ""Exterior security cameras on property""]",230.0,3,3,3.0,3.0,3.0,3.0,3.0,3.0,,t,30,60,90,365,45539,1,0,0,44634.0,44634.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.03
846,1225424011911015504,https://www.airbnb.com/rooms/1225424011911015504,20240904164210,45540,city scrape,Luxury DTLA Studio - with Balcony and View,"Back by popular demand, this Luxurious yet cozy DTLA Studio has one of the best views of Downtown with some of the best/newest amenities in Los Angeles. <br /><br />Hangout w/ friends or by the pool or grab a seat by one of the outdoor firepits. Enjoy an endless supply of free Starbucks Coffee and check out the views from the Sky deck. <br /><br />Centrally located near FiDi.<br /><br />Disneyland - 45 min. <br />Koreatown - 10 min.<br />Little Tokyo - 10 min.<br />Universal Studios - 20 min.<br />Griffith Observatory - 15 min.<br />Beach - 20 min.",,https://a0.muscache.com/pictures/hosting/Hosting-1225424011911015504/original/27203cf8-766c-4063-b6c8-e388f7089177.jpeg,118251884,https://www.airbnb.com/users/show/118251884,Jonathan,42792.0,"San Marino, CA",,within an hour,1.0,0.8,t,https://a0.muscache.com/im/pictures/user/c8190a31-d503-4554-a4be-da6f15209d8f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c8190a31-d503-4554-a4be-da6f15209d8f.jpg?aki_policy=profile_x_medium,Marina,3.0,3.0,"['email', 'phone']",t,t,,Downtown,City of Los Angeles,34.04932,-118.26308,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Pool"", ""Dedicated workspace"", ""Air conditioning"", ""Fire pit"", ""Building staff"", ""Kitchen"", ""Pool table"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""BBQ grill"", ""Free parking on premises"", ""Hot tub"", ""Washer"", ""Exercise equipment"", ""Self check-in"", ""Smoke alarm""]",100.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,,t,11,11,12,287,45540,0,0,0,,,,,,,,,,,f,2,2,0,0,
